:START_ID,:END_ID,:TYPE,deal_date,deal_amount,investor_status,is_lead,notes
biobot_inv_008,biobot_deal_008,INVESTED_IN,2020-04-17,$6.74M,New Investor,false,Seed Round
biobot_inv_034,biobot_deal_008,INVESTED_IN,2020-04-17,$6.74M,Follow-On Investor,false,Seed Round; Fund: Y Combinator Fund III
syntis_inv_012,biobot_deal_007,INVESTED_IN,2020-04-15,$0.54M,New Investor,false,NIH Grant; $536455
biobot_inv_034,biobot_deal_006,INVESTED_IN,2018-03-20,$0.12M,New Investor,false,Y Combinator Winter 2018; Fund: Y Combinator Continuity Fund I
revivemed_inv_009,biobot_deal_005,INVESTED_IN,2017-09-12,$0.02M,New Investor,true,MIT Delta V 2017 Demo Day; Lead Partner: William Aulet
biobot_inv_036,biobot_deal_004,INVESTED_IN,2017-05-18,$0.02M,New Investor,true,MITdesignX Spring 2017; Lead Partner: Gilad Rosenzweig
biobot_inv_037,biobot_deal_003,INVESTED_IN,2017-05-02,$0.01M,New Investor,true,MIT IDEAS Global Challenge prize
biobot_inv_035,biobot_deal_002,INVESTED_IN,2017-01-01,,New Investor,false,Rough Draft Ventures 2017 Class
revivemed_inv_012,biobot_deal_001,INVESTED_IN,2017-01-01,,New Investor,false,University Spin-Out from MIT
biobot_startup_001,biobot_inv_012,ACCELERATED_BY,2020-05-01,,,,The Engine
biobot_startup_001,biobot_inv_034,ACCELERATED_BY,2018-03-20,,,,Y Combinator Winter 2018
biobot_startup_001,revivemed_inv_009,ACCELERATED_BY,2017-09-12,,,,MIT Delta V 2017 Demo Day
biobot_startup_001,biobot_inv_036,ACCELERATED_BY,2017-05-18,,,,MITdesignX Spring 2017
biobot_startup_001,biobot_inv_035,ACCELERATED_BY,2017-01-01,,,,Rough Draft Ventures 2017 Class
biobot_startup_001,revivemed_inv_012,SPUN_OUT_OF,2017-01-01,,,,Spun out of Massachusetts Institute of Technology
